Lex,Fluted,Hibrid,Vampire
0,0.00,0.00,0.00
1,12000.00,13200.00,16000.00
2,12000.08,1.24,0.40
3,0.08,0.00,0.00
4,0.00,0.00,50897.16
5,0.04,0.08,49200.04
6,0.08,3.20,12005.60
7,13200.44,5.84,0.12
8,0.04,37200.00,133770.16
9,8.12,47460.08,135682.36
10,48100.00,36000.84,100367.76
11,13203.24,12034.48,47580.68
12,12000.20,12032.00,151798.28
13,23466.00,19510.44,103705.24
14,53524.32,83655.96,152060.92
