Seed,Fluted,Hibrid,Vampire
1888298192,300000,300000,??
112157309,6,3,2
1995967279,0,0,567
3109930353,21,1343,330000
2976425615,330000,300000,??
3494013616,300000,3,300000
1104718800,0,1,300000
1103770242,330000,279361,300000
955924896,0,300000,??
2818968721,300000,300000,??
501037027,1,1,0
193043504,300000,6103,241347
1202494886,167449,804,300000
3106349386,330000,330000,??
1139214860,0,0,330000
1094058076,330000,5829,164
1272311151,2,1,330000
2445759963,0,0,300000
1000500830,1,1,330000
4016290781,1,1,330000
1122982266,1,1,330000
98307619,1,0,0
1803352277,6,3,330000
3619949626,2,1,300000
4024438531,300000,300000,??
