Seed,Fluted,Hibrid,Vampire
3981235415,0,0,0
2044394889,0,0,0
1597227299,0,0,0
1588000763,0,0,2965
1633686186,0,0,0
3277168072,0,300000,??
3951261644,6,0,164276
4021828770,0,0,0
543424157,0,0,330000
421408679,300000,300000,??
3828158179,1,0,8
1123843758,0,0,330000
810860161,0,0,0
3795427245,0,0,330000
863491946,0,0,0
1710221986,0,0,300000
2417604678,9,1,330000
3688945968,0,0,300000
28424553,300000,300000,??
2676834915,0,0,0
1969973041,0,0,0
3460041314,0,0,0
1578403354,0,0,0
2262607429,0,0,0
2057050640,0,0,330000
