Seed,Fluted,Hibrid,Vampire
2486423591,137841,4,300000
3966092937,300000,300000,??
3675667375,300000,300000,??
696690406,1,3813,92519
290427747,30,16,330000
739622180,6,3,300000
190405318,2,2,0
911413947,3663,7884,300000
1054301397,0,0,0
2787324296,1,0,0
1360708640,164,300000,??
467514049,46,299981,300000
3477560143,300000,319,91276
88924395,1,32,300000
498385346,3,5,0
1834210328,0,0,0
251048185,12,3,300000
4087943267,18,4,300000
3247629440,300000,612,300000
2476262073,1,1,330000
1676484196,0,0,0
1459864750,1,1,0
3750821571,410,35,277003
3694082937,47,3,330000
3058851443,262992,122987,300000
