Seed,Fluted,Hibrid,Vampire
2526507155,300000,330000,??
3098243922,0,0,300000
1256359334,0,1,300000
4047147167,0,0,0
3171804971,0,0,330000
2444259378,0,0,330000
1110856310,1,7006,330000
896733567,0,0,0
3724695369,0,0,330000
441336895,0,0,0
2770534815,0,0,0
4129393050,0,0,330000
679135435,0,0,0
1883236700,0,0,0
3047246992,0,0,0
474787627,0,0,0
1020534277,0,0,300000
4008858879,0,0,25
499757300,0,0,0
4278257135,0,300000,??
3925749083,0,0,0
1308491460,0,0,0
704005499,4,78,300000
47798413,0,0,0
3860434812,0,0,0
