Seed,Fluted,Hibrid,Vampire
553636443,1,2,0
4035827206,1,4,0
1170933824,1,1,0
2794737194,0,0,0
1007351501,0,0,300000
222002254,300000,300000,??
1509349791,0,1,0
1659771617,3,4,0
644059777,0,0,0
109927610,1,36,0
2444331174,1,285,3283
1258541258,300000,300000,??
823374065,1,1,6
4052840762,1059,8,330000
4116087612,300000,300000,??
2965729508,65,19,330000
2423995316,53,10,0
2869484690,300000,300000,??
3401459195,2,2,0
4137297206,300000,212194,194
831018218,3,2688,0
3132316671,300000,300000,??
90056045,0,1,0
4059981649,8,2,0
179884409,0,0,0
