Seed,Fluted,Hibrid,Vampire
177617405,0,0,300000
2986105940,1,0,0
1967318619,0,0,296849
1007012296,0,0,300000
2970144556,0,0,0
3498528214,0,1,1
2228261069,0,0,300000
2532102131,0,0,330000
1636015280,0,0,300000
989443939,0,1,0
1097857841,0,0,1173
1931179782,0,0,0
1543722825,0,0,330000
589311807,0,0,0
3343255428,1405,161,0
1125833262,0,0,111
3078515549,0,0,20
2682131904,0,0,300000
1422189899,0,0,330000
3512604076,0,0,300000
3653100232,0,0,330000
593474888,0,0,2
3409984624,0,0,330000
1603832826,0,0,0
369593611,0,0,62
