Seed,Fluted,Hibrid,Vampire
853470047,0,0,300000
131248515,0,0,0
3492796965,0,0,330000
1165483968,0,0,0
2760927614,0,0,0
3493057321,0,929,330000
4103665559,0,279236,300000
2610460793,0,0,0
2469977223,0,0,330000
3214108951,0,0,330000
2441352400,0,300000,??
942799114,0,0,330000
2626276303,0,0,330000
1463990763,0,300000,??
2908260385,0,0,0
3800528338,0,0,330000
3595762653,0,0,6790
2405697820,0,0,0
123957312,0,41,0
3435790124,0,0,330000
2911287648,1,7,330000
3479820829,0,0,330000
720950746,0,0,330000
1442574785,0,0,12
233287683,0,19,330000
