Seed,Fluted,Hibrid,Vampire
2574398021,0,0,0
1376317449,300000,300000,??
199848091,0,0,0
2108733700,0,0,0
2574398021,1,0,0
1376317449,330000,300000,??
199848091,0,0,0
2108733700,0,0,0
3334057847,0,0,330000
2176864990,0,0,300000
2670137535,19,570,300000
2865291010,0,0,0
2456296676,0,0,0
4265437500,0,0,0
979291367,0,0,489
1592739169,0,0,0
3275086251,91,0,0
1572181003,0,1625,300000
3788423716,0,0,0
1260864830,0,0,0
4142151355,0,0,0
2309236290,0,0,0
1978016225,0,0,0
248366032,0,0,0
2001040748,0,0,0
3201603572,0,0,0
1159048100,0,0,0
2475824401,0,0,0
692584679,0,0,78744
