Seed,Fluted,Hibrid,Vampire
2965446944,0,0,0
2923255578,0,0,330000
3221517861,3,0,0
2687493198,0,0,300000
2628221439,0,0,0
3158917758,0,0,0
3963318518,0,0,240366
2714146654,0,2,330000
2879970664,0,0,300000
4012890903,0,0,155
636553259,0,0,0
2751951423,0,300000,??
1289346532,0,0,4309
2474914188,0,0,1
1518630655,0,0,0
3675812034,300000,787,300000
3965873562,0,0,0
154128262,1,0,300000
642082714,0,0,330000
2030908980,1,0,126
1791458283,0,0,0
1093075269,0,0,330000
3903043056,0,4,300000
2227785850,0,0,0
3888639095,0,7,330000
