Seed,Fluted,Hibrid,Vampire
575464426,0,0,300000
3523252938,0,0,0
2858468493,0,300000,??
800002565,0,0,0
3169741605,0,0,300000
1874121848,0,0,300000
363063495,0,0,330000
1662768001,0,0,0
3768027027,0,0,300000
1250197901,0,0,300000
2314347435,0,0,0
680584714,0,0,300000
1912716752,0,0,0
815822898,0,0,300000
2085796931,0,0,300000
1353708946,0,0,260031
819567423,0,0,0
679355252,0,0,0
3946138206,0,0,330000
1652003324,0,0,0
1814610416,0,0,0
398280184,0,0,0
3300914314,0,0,0
132838029,0,0,0
651844640,0,0,0
