Seed,Fluted,Hibrid,Vampire
2454752718,0,0,330000
129498683,300000,300000,??
2568075462,1,0,330000
822411829,0,0,0
2449770194,1,0,300000
3456825969,0,0,300000
3832272158,0,0,0
1197577123,0,0,0
3056983530,0,0,0
251248187,1,0,300000
3991293510,0,0,0
3663634158,0,0,0
68006589,17,0,289723
1920545125,0,0,2
1375360660,1,1,16784
798440810,2,1,1
620512300,0,0,300000
1025987230,0,0,0
3104962277,300000,1166,330000
2335363800,0,0,0
475708907,0,0,0
935041788,0,0,300000
2385712914,0,0,300000
4214305425,0,0,0
3736491920,0,0,0
