Seed,Fluted,Hibrid,Vampire
2413153300,1,300000,??
1824955406,3,2,236298
3141473910,5,4,0
983767597,1,1,0
3826011430,34,100,300000
1971321738,1,300000,??
3475914881,0,0,0
2896729446,6607,11,23
3471814791,0,0,300000
3839796438,0,0,0
3227304016,1,2,0
1789047509,0,0,0
1661972637,1,1,0
1998208604,0,0,616
3391881480,100,2,300000
584234605,14,1388,300000
298973958,3,28,300000
3237318291,0,1,0
3288629442,3,3,0
864147884,0,0,0
3322826472,0,300000,??
1811500142,3,1,330000
1356966951,1,1,0
76468960,5,300000,??
2860670317,0,0,0
