Seed,Fluted,Hibrid,Vampire
1326656535,1,51,0
3050035381,1,1,300000
3567430930,1,330000,??
3941770825,1,167,300000
2787716981,0,0,0
3731047309,1,0,1
2244522464,1,1,330000
1326656535,1,50,0
3050035381,1,1,300000
3567430930,1,300000,??
3941770825,1,165,300000
2787716981,0,0,0
3731047309,1,1,1
2244522464,1,1,300000
4159046187,1,1,300000
3954794124,1,2,0
4169807030,1,5,18212
766653051,2,2,0
1445840051,0,0,0
2205203493,247954,27,300000
1358657588,300000,300000,??
1927804146,3,3,300000
3900924085,300000,1701,300000
3782990131,0,0,0
438564144,0,0,0
1354358821,300000,300000,??
3432302169,168,245,0
3941054633,300000,300000,??
1505035716,3,300000,??
2235098346,2219,44,300000
3974550917,300000,300000,??
2637586659,167106,300000,??
