Seed,Fluted,Hibrid,Vampire
1588939896,0,0,0
862714965,0,1,330000
1743695290,0,0,5
2222213367,0,300000,??
2361467098,0,0,0
1096328666,0,0,330000
2010375662,0,0,0
1547645203,0,0,300000
1901774452,0,0,0
3896322860,0,0,300000
2309328417,0,0,0
430130362,0,3,300000
4275209792,0,0,0
3702340039,0,0,0
1437385266,0,0,300000
1352560824,0,0,330000
3941445551,0,0,300000
2026102986,0,0,0
2726376890,0,0,330000
892592121,0,0,330000
260647428,0,0,0
1770557694,0,1,300000
873085126,0,0,300000
709070064,0,0,74
3185663188,0,0,0
