Seed,Fluted,Hibrid,Vampire
3017523063,0,0,0
3161526476,1061,3,0
2017307118,11,300000,??
1049755499,1,2,0
1140448104,0,1,0
3481369446,0,0,0
1198491652,21,2,0
1150426647,5275,2667,0
123899371,2,2320,9
1789003746,2,2,10609
337061060,1,1,0
485006009,300000,300000,??
3063345602,330000,33643,300000
3187301008,0,0,0
3383083638,1,2,330000
489702244,1,1,300000
790640233,0,1,0
736121490,300000,1669,0
2048592613,0,3,1
193303396,0,0,0
925075694,22,300000,??
3227930915,300000,300000,??
2255190744,3,2,2
3032340995,1,1,0
3839424941,180517,200,300000
