Seed,Fluted,Hibrid,Vampire
2009087544,0,0,0
2483071050,0,0,0
1151887922,0,0,3
1463545638,0,0,0
1388738755,0,0,300000
2838624069,0,0,330000
4130951345,1,0,300000
1790209070,0,0,0
741474864,0,0,300000
4162112894,0,0,0
3062494572,0,0,300000
792328918,0,0,56584
3958162418,0,0,0
1196543379,0,0,300000
687059523,0,0,300000
3292281981,0,0,0
1024858332,0,0,300000
2661681949,0,0,330000
2869488078,0,0,0
505378917,0,0,0
1329069566,0,0,0
601570028,0,0,330000
3674633503,0,0,0
3801974546,0,0,0
3423515712,0,0,0
