Seed,Fluted,Hibrid,Vampire
2484618536,1,0,330000
1023220823,0,0,0
2057074569,0,0,0
2353585229,1,2,300000
2197825989,0,1,330000
3312945531,0,0,300000
2027507150,0,0,330000
58698360,1,300000,??
218209054,0,0,300000
1031332770,0,0,330000
1971485919,300000,300000,??
1630881795,0,0,0
1442360654,42138,3,330000
3635740313,0,0,0
3920648116,0,0,103688
3504038794,1,0,330000
676321563,0,0,0
1566365853,0,0,0
3130458912,0,0,330000
346891247,0,0,19
3066754509,0,0,300000
3865423549,0,0,7775
4104964741,0,300000,??
732844081,0,0,330000
1599926676,0,0,103
