Var,Fluted,Hibrid,Vampire
2,0.12,0.16,0.00
3,12002.00,22833.16,16002.60
4,87.20,12058.20,40778.04
5,14.96,0.84,18079.96
6,12007.16,24000.08,32000.00
7,0.08,3.20,12005.60
