Var,Fluted,Hibrid,Vampire
2,445.52,22.68,0.32
3,24044.24,33737.96,68008.80
4,61200.00,46639.68,112962.04
5,12039.88,95.32,117941.32
6,21727.97,20765.34,72732.17
7,8.12,47460.08,135682.36
