Var,Fluted,Hibrid,Vampire
2,24006.72,35311.00,32515.60
3,13848.24,25201.08,32002.68
4,62096.72,75876.20,108004.72
5,67935.92,81406.60,150105.64
6,68885.52,60027.96,123972.36
7,53524.32,83655.96,152060.92
