Var,Fluted,Hibrid,Vampire
2,2.96,27.54,0.21
3,12576.40,12240.96,16001.80
4,24010.24,12046.52,40001.32
5,37067.24,44131.91,68529.56
6,24109.68,23622.88,46182.40
7,13203.24,12034.48,47580.68
