Var,Fluted,Hibrid,Vampire
2,12000.04,12105.00,64000.76
3,0.00,3.04,90140.96
4,0.00,0.04,94131.32
5,0.00,2.12,82345.12
6,2.00,12000.00,88000.00
7,0.00,0.00,50897.16
