Var,Fluted,Hibrid,Vampire
2,0.00,0.00,0.04
3,0.00,0.04,0.16
4,0.00,0.04,0.00
5,0.00,0.00,0.00
6,0.88,0.00,0.00
7,12000.00,13200.00,16000.00
