Var,Fluted,Hibrid,Vampire
2,12000.16,12001.48,28000.00
3,26.20,24120.04,79768.40
4,6829.70,13639.25,81517.64
5,0.04,0.04,41007.08
6,12000.12,11092.80,37200.04
7,0.04,0.08,49200.04
