Var,Fluted,Hibrid,Vampire
2,36197.52,48000.12,114195.28
3,12132.88,25264.44,80027.72
4,969.44,32.32,169826.24
5,12000.28,12069.16,64003.32
6,0.00,0.00,121210.16
7,0.04,37200.00,133770.16
