Var,Fluted,Hibrid,Vampire
2,25516.00,39413.00,73345.00
3,75005.11,106040.36,168267.43
4,96062.08,123191.64,194425.60
5,146572.76,158384.64,249200.28
6,36255.00,59233.04,178000.16
