Var,Fluted,Hibrid,Vampire
2,9670.92,0.28,0.40
3,12001.84,21081.56,16000.16
4,12023.48,12008.00,40001.24
5,36000.48,66564.20,105230.36
6,12073.56,0.88,45939.96
7,13200.44,5.84,0.12
