Var,Fluted,Hibrid,Vampire
2,0.04,0.00,0.08
3,0.00,0.00,0.00
4,0.04,0.04,0.12
5,0.08,0.00,0.00
6,0.28,0.08,0.00
7,12000.08,1.24,0.40
