Var,Fluted,Hibrid,Vampire
2,78634.88,49483.52,137207.12
3,24003.00,30815.84,190031.88
4,67220.56,73275.92,240539.40
5,13200.08,12000.20,199113.16
6,0.12,12000.00,179053.36
7,12000.20,12032.00,151798.28
