Var,Fluted,Hibrid,Vampire
2,74485.36,109200.04,157202.36
3,61609.28,156021.68,274094.44
4,46331.48,61214.20,209351.24
5,32144.57,72353.07,215358.46
6,54985.92,56113.24,130648.44
