Var,Fluted,Hibrid,Vampire
2,28831.84,24000.96,32000.04
3,12580.80,24005.56,32000.04
4,71322.24,59957.20,92570.68
5,97710.04,101141.00,113081.84
6,72349.64,70961.40,117215.80
