Var,Fluted,Hibrid,Vampire
2,12002.88,12001.36,16000.04
3,56607.04,52812.80,64009.12
4,100047.78,88922.70,118518.52
5,109054.64,84590.48,112976.28
6,72047.96,68610.32,118539.32
