Var,Fluted,Hibrid,Vampire
2,32836.76,36034.20,48002.08
3,85455.17,90296.87,140011.83
4,83813.84,69792.32,115768.44
5,41007.96,92380.20,150629.12
6,88192.15,142947.44,197919.22
