Var,Fluted,Hibrid,Vampire
2,0.00,0.00,0.00
3,0.08,0.04,0.00
4,0.04,2.00,0.08
5,0.00,0.00,0.00
6,0.16,0.20,0.00
7,0.08,0.00,0.00
