Lex,Fluted,Hibrid,Vampire
0,0.00,0.00,24000.64
1,0.00,0.04,0.16
2,0.00,0.00,0.00
3,0.08,0.04,0.00
4,0.00,3.04,90140.96
5,26.20,24120.04,79768.40
6,12002.00,22833.16,16002.60
7,12001.84,21081.56,16000.16
8,12132.88,25264.44,80027.72
9,24044.24,33737.96,68008.80
10,61232.84,57746.32,88000.04
11,12576.40,12240.96,16001.80
12,24003.00,30815.84,190031.88
13,114137.16,84427.80,163600.00
14,13848.24,25201.08,32002.68
15,12580.80,24005.56,32000.04
16,61609.28,156021.68,274094.44
17,75005.11,106040.36,168267.43
18,85455.17,90296.87,140011.83
19,56607.04,52812.80,64009.12
20,253.08,4162.48,12000.00
21,0.00,1.16,25201.36
22,0.00,0.00,0.00
23,12000.00,277.92,0.08
24,0.04,12259.36,90400.68
25,2.12,2.08,70398.32
26,12000.16,13201.00,82354.48
27,12000.16,12000.20,16000.04
28,12076.12,24000.36,130400.16
29,60002.48,89385.60,174566.32
30,38405.32,36001.12,84005.84
31,12.04,14318.48,29386.28
32,37201.16,84587.04,214105.96
33,60882.89,101232.71,192857.18
34,23629.28,36006.08,60016.16
35,49123.40,48010.64,65705.32
36,36086.00,108006.40,261942.04
37,85206.92,96040.92,160001.04
38,73235.28,101250.32,142202.32
39,95267.92,92686.60,124533.88
40,7143.10,7142.86,23809.52
41,1.36,0.00,12000.00
42,9862.88,10699.88,0.16
43,12000.00,9987.04,0.00
44,0.12,12010.60,113122.44
45,13200.00,283.76,96000.24
46,64.32,12005.28,54854.88
47,5.08,8636.92,64800.40
48,44322.04,73200.04,182896.40
49,22733.64,34161.96,121359.60
50,64248.32,98401.24,199258.36
51,44004.57,32407.61,98083.32
52,8358.84,60005.64,248246.52
53,73297.44,89800.32,187941.32
54,70750.04,74560.28,144416.68
55,39387.20,48025.24,94117.24
56,29895.54,102333.08,261025.64
57,79756.80,86166.88,188800.04
58,74525.52,95763.12,142227.24
59,60021.00,96006.24,152000.00
60,0.00,356.20,21353.60
61,0.04,0.08,12000.92
62,0.04,0.00,8106.72
63,0.00,0.04,13200.00
64,13200.00,13200.00,80800.04
65,0.08,12000.28,117326.08
66,0,0,0
