Seed,Fluted,Hibrid,Vampire
1927825277,300000,3,870
211424663,0,0,0
385005728,0,0,85
807360318,0,0,0
2304206316,346,300000,400000
893905947,206,300000,400000
3247185667,0,2,330000
3889268187,300000,300000,400000
3835673674,0,0,0
1419500501,0,0,0
3566338364,1,0,300000
2046790776,0,0,300000
2075180348,0,25,300000
1735416069,0,0,0
1571159877,300000,330000,400000
1659315670,0,0,0
1534765146,330000,330000,400000
3327839846,0,0,0
2580222404,300000,300000,400000
1568402323,1,300000,400000
2988815042,0,0,4
4232742064,0,0,300000
2891193481,9,1,250500
1576299534,0,0,0
3161918792,75645,300000,400000
