Seed,Fluted,Hibrid,Vampire
383247646,0,0,0
16699189,0,0,0
237822213,0,0,0
1325435791,16,3,0
1102590787,8,3,0
1015971587,0,0,0
329605463,59,4,0
2246728314,0,0,0
1531502422,0,0,0
2199387305,1,2,0
253871829,251435,300000,400000
3143120539,6,13,13347
4214019496,0,0,0
3711092643,330000,300000,400000
536436731,300000,300000,400000
566253603,1,1,0
2989671655,300000,217112,300000
1259094574,0,0,0
265140491,0,0,0
2860463597,300000,300000,400000
1267936353,172,27,0
1184798434,300000,300000,400000
690407037,0,0,0
614241713,300000,300000,400000
3445761488,300000,300000,400000
