Seed,Fluted,Hibrid,Vampire
2471868352,0,0,330000
1379196211,9,300000,??
2019609333,0,0,300000
699757358,0,0,0
3981956225,0,0,0
845453590,1,300000,??
4183339632,0,0,0
1965380491,1,4,300000
301803253,0,0,0
321086493,0,0,204000
2201221697,24,0,300000
2732251891,5,0,330000
720734914,1,1,300000
1918457116,1,0,300000
1823954467,0,0,187828
2760235870,0,0,330000
633629844,0,0,1
3792882189,0,0,0
2394435867,0,0,0
1775694715,0,0,330000
1046071057,1,2,330000
1681802619,1,0,330000
2173283060,300000,1,300000
2563953479,0,0,859
708950529,0,0,0
