Seed,Fluted,Hibrid,Vampire
3621952616,0,0,0
213030563,1,1,0
449955020,35872,4,0
640022398,0,0,0
3967427409,0,0,0
353479945,1,0,0
443678278,4,1,0
281096925,1,1,2
518815379,1,1,18945
872326873,2,2,300000
254504871,2,1,87086
2801822661,0,0,0
1877815457,12,13,300000
1135864170,1,300000,??
3764270520,2,1,300000
1394965371,2,300000,??
3506416822,1990,2,300000
3067547111,2,300000,??
3936830049,0,1,244672
1638550318,300000,300000,??
1435936549,3,1,330000
3862381726,300000,211039,300000
4031238043,4,300000,??
3138474969,1,1,330000
1482335332,0,1,0
