Seed,Fluted,Hibrid,Vampire
1719331407,8513,10,0
380581446,0,1,0
2144065840,36,4,0
2101995082,0,1,0
3227792513,0,0,0
4163812027,300000,300000,??
3478601534,4,300000,??
810698854,0,1,0
3806103903,0,0,0
3794749321,0,0,0
161175540,0,2,330000
4098773178,0,0,0
2740713067,0,0,0
3490081484,0,0,0
4076411358,0,0,0
4286055944,2,243758,650
3227302805,0,293494,102027
1356971724,0,10,64417
2168175388,0,0,0
1978413276,1053,300000,??
2223637754,0,0,0
272987865,1,1,0
1272828159,3,519,0
4128339516,1,3,0
1555686352,0,1,0
