Seed,Fluted,Hibrid,Vampire
1331047664,0,16,0
2563043324,8,64,0
4057604940,0,0,0
805884494,0,0,277
999253430,0,71,0
2190587789,0,0,300000
4132973049,1,1,0
430933749,0,0,0
2759884780,0,1,300000
1160823365,1,47,300000
2262932805,0,0,0
2486705211,300000,215086,300000
885266087,4,300000,??
3237390130,0,0,300000
2302555520,300000,4,330000
2407642509,0,0,0
1193083271,6913,1,300000
205744529,0,0,0
3331413061,330000,235549,0
3384073667,0,0,300000
1284156237,236868,4,300000
1793283365,5,1,330000
3744818782,0,0,300000
621257494,0,1,41387
1090227444,2,1,330000
