Seed,Fluted,Hibrid,Vampire
3960809150,0,0,0
3960809150,1,0,0
121849023,290753,154156,330000
601417611,291878,289447,300000
2922349314,1,2,1471
963134175,5,300000,??
1094800379,0,0,0
3743272827,1,2,300000
3288735647,0,0,0
2246441872,20,3,0
2392866980,259712,89,300000
3713441179,300000,203383,300000
3722971682,300000,300000,??
3620777703,2,1,0
3499746563,0,0,300000
1711358498,7,0,0
247109560,0,0,0
597225195,1,296,300000
1576846471,300000,262930,300000
3490671312,300000,294331,330000
3634929941,300000,4,300000
3696880743,0,1,0
3362563743,1,1,0
3675009563,0,300000,??
685534551,0,300000,??
710198803,1,3,330000
