Seed,Fluted,Hibrid,Vampire
1570840335,0,0,300000
4242771074,0,0,0
1963633240,0,0,209032
3817052542,0,0,330000
4013676299,0,0,330000
3691685702,0,0,300000
1705049931,0,0,0
2130913921,0,0,300000
1910252215,0,0,330000
2917469149,0,0,300000
3842617509,0,0,300000
2771941841,0,0,5
478634151,0,0,330000
4174070719,0,0,300000
1104557482,0,0,0
1904378577,0,0,330000
2558797545,0,0,0
336426604,0,0,0
984514672,0,0,273
1970606452,0,0,300000
4208004544,0,0,0
2683519358,0,0,4
3113019680,0,0,0
2058119043,0,0,300000
2118958246,0,0,330000
