Seed,Fluted,Hibrid,Vampire
1351128408,0,0,300000
788650348,1,0,330
1133453227,0,0,0
1069188683,1274,1,300000
3668863226,0,0,300000
1865328823,0,0,0
2196912898,0,0,0
643299531,9,1,300000
1488354891,0,0,0
1245594069,0,0,0
3278678048,0,0,0
2921141980,0,0,300000
1105038066,0,0,330000
1564996306,0,0,22
2781896008,300000,259411,300000
3329580541,0,0,0
2082840122,0,0,0
1974034515,0,0,0
2063031449,0,0,300000
524869195,0,0,0
1076324606,0,0,330000
1024121293,0,0,300000
286175648,0,0,330000
1663649718,0,0,0
3196659075,1,9,300000
