Seed,Fluted,Hibrid,Vampire
4026468491,2,0,300000
1341006275,0,0,0
2158669675,0,0,300000
2225050498,0,0,0
1342789076,0,0,0
2863800350,0,0,0
798497598,0,0,0
1717543020,0,0,0
3786363687,0,0,0
1682027219,0,0,300000
1853242109,0,0,0
1335230112,3806,7490,300000
2890182842,0,0,0
112796515,0,0,300000
1982361063,300000,300000,??
3847152070,0,0,0
3488013110,0,0,300000
1728909396,0,0,0
151410070,0,0,0
3073904938,0,0,154
1184964529,1,300000,??
3362105570,3,0,300000
4050872469,0,0,235913
4074666260,0,0,0
3308430856,0,0,0
