Seed,Fluted,Hibrid,Vampire
2802601250,0,0,0
70270104,0,0,0
2893051475,1,2668,330000
1963359183,10,1,330000
1267585917,0,0,0
1381927049,0,0,206407
4224186076,477,24,1
2976543175,77883,117769,300000
3687495648,0,0,0
1475524045,300000,300000,??
1235120827,300000,300000,??
580835106,3787,2,0
60419386,300000,300000,??
991500198,0,0,0
164451030,330000,300000,??
2474537635,0,0,0
1840805969,9743,300000,??
2139166221,0,0,0
726013239,0,0,0
460925831,17,7,0
2786840061,300000,300000,??
364769819,6,1,0
110617864,300000,300000,??
4184087564,0,0,0
2200938885,0,0,0
