Seed,Fluted,Hibrid,Vampire
1210265585,0,0,0
734391007,0,0,300000
1390366609,0,0,0
2499635050,0,1,300000
3913725427,0,0,330000
4106250640,0,300000,??
2013842341,0,0,0
2938217748,0,0,300000
660761341,0,22,300000
3764743971,0,0,330000
1717615305,0,0,0
2764181642,222,300000,??
4181794024,4,0,300000
3079654095,0,0,300000
233793436,0,300000,??
2573142784,0,3,0
2992078652,0,0,1
2162482690,0,0,128
1266630526,300000,300000,??
1502806871,1,300000,??
2388092569,0,0,0
3066395284,0,0,0
2314635512,0,0,0
818352595,3,181517,300000
3670897605,0,0,0
