Seed,Fluted,Hibrid,Vampire
1306320124,0,0,0
4049400257,19,300000,??
4152030563,0,0,300000
3682490413,1,0,300000
51774632,1,1,300000
3313936928,0,0,300000
88792802,0,0,173778
3801603315,330000,330000,??
910833695,0,0,300000
572867710,0,0,1
3831645771,300000,300000,??
1126908539,0,0,0
4207916418,3,3,300000
1245332738,0,0,0
187205578,0,0,0
1987993163,0,0,300000
1948960071,198255,300000,??
898946878,2,7,2
3911847487,6,344,330000
2182186691,330000,300000,??
3255791941,0,0,330000
4095709287,0,0,0
3738504695,0,0,0
2166069013,0,0,300000
4065439108,0,0,0
