Seed,Fluted,Hibrid,Vampire
1245914184,3,4,47331
3833786489,0,0,0
1876368190,15,5999,0
2733264142,0,1,0
953363686,300000,330000,??
3623456787,0,0,0
2521804829,300000,300000,??
4058027575,300000,300000,??
735086839,0,1,0
2979528195,0,0,0
2955423504,29,10863,0
998185103,0,1,0
2239112517,1,6,300000
4215205570,0,0,330000
1399212751,5,1,166428
1264466642,11,2,0
639423334,0,0,0
3255813942,17,1965,0
15875665,300000,300000,??
1426950171,12,211,300000
2332282055,300000,300000,??
3795381799,300000,300000,??
1099188038,0,0,0
332429282,330000,300000,??
2668153792,94,2,1139
