Seed,Fluted,Hibrid,Vampire
662327200,0,3,300000
3544495189,300000,330000,??
2530632837,0,300000,??
604488376,0,0,0
4009036199,0,0,300000
3889448725,0,0,0
3090132482,0,0,300000
523245853,300000,300000,??
1899455400,0,0,0
2890755539,0,0,0
1508719139,0,0,421
667489020,0,0,0
947927694,300000,20290,330000
998375920,0,0,300000
1645923153,300000,300000,??
2656986479,0,0,0
3107836424,300000,330000,??
2136481657,0,0,0
1884283372,300000,300000,??
723495584,300000,300000,??
2670307244,20,300000,??
360726036,300000,300000,??
476856819,1,0,0
1454331934,0,0,300000
1318826168,0,0,0
