Seed,Fluted,Hibrid,Vampire
3847929379,0,0,0
3930569143,0,0,0
1219895264,1,11,1
440563456,0,0,0
804310605,300000,300000,??
1168734567,0,4781,300000
3464884991,0,0,0
2197694676,13,0,0
3142624217,7,2,300000
4098936714,1,0,300000
3799200192,1,0,0
3343770269,300000,300000,??
3337925316,0,0,0
2251774354,15204,129901,330000
211213375,1752,1,300000
2711818188,0,0,0
780126969,0,0,0
2340213355,1,0,0
3458161289,0,0,0
1806949563,3,37,0
222370132,0,14,300000
2653569835,7,1,22
2170595909,0,0,0
3194122922,0,0,300000
281140739,0,0,0
