Seed,Fluted,Hibrid,Vampire
3364457579,34,1,300000
3205930637,1,0,0
1346326444,0,0,300000
897339664,300000,300000,400000
1485009371,0,0,0
1695855684,0,0,0
3199388590,0,0,0
1419722019,0,0,300000
2327498453,330000,464,300000
341385106,330000,300000,400000
1355443988,0,0,0
3279712803,0,0,300000
573978058,0,6341,330000
59463500,2,117,300000
1054272331,0,0,0
1847397496,330000,300000,400000
1894171424,77,300000,400000
2891840892,0,0,0
825385653,0,0,0
2027072605,0,0,0
4155260131,300000,300000,400000
2462690990,0,0,0
462781951,330000,300000,400000
1603247007,330000,300000,400000
3103693735,0,0,0
