Seed,Fluted,Hibrid,Vampire
3480060031,7,2,210559
1751472342,0,0,0
750265775,18,0,286962
582520466,0,0,71
2066207535,330000,0,330000
632326578,300000,300000,400000
2152147645,0,1,5422
1447158096,3,0,0
386925748,0,0,0
1505638148,0,0,0
3811430218,0,0,0
1069099357,0,0,0
2407179716,4,6,330000
817059254,300000,300000,400000
746733414,300000,330000,400000
1219377916,0,0,0
3171820251,0,0,0
3117065708,300000,300000,400000
3429827357,300000,330000,400000
591295829,0,0,0
2233443143,1,0,3
3097487214,1,1,188
1516788763,0,0,0
517729492,330000,300000,400000
1907427628,1,0,0
