Lex,Fluted,Hibrid,Vampire
0,0.00,0.00,23324.04
1,0.00,0.00,0.04
2,0.04,0.00,0.08
3,0.00,0.00,0.00
4,12000.04,12105.00,64000.76
5,12000.16,12001.48,28000.00
6,0.12,0.16,0.00
7,9670.92,0.28,0.40
8,36197.52,48000.12,114195.28
9,445.52,22.68,0.32
10,0.32,2.72,0.68
11,2.96,27.54,0.21
12,78634.88,49483.52,137207.12
13,84131.96,84167.68,112000.36
14,24006.72,35311.00,32515.60
15,28831.84,24000.96,32000.04
16,74485.36,109200.04,157202.36
17,25516.00,39413.00,73345.00
18,32836.76,36034.20,48002.08
19,12002.88,12001.36,16000.04
20,5104.48,2752.76,12000.56
21,0.04,0.32,24007.68
22,12002.16,9.20,0.16
23,2.64,0.00,12000.00
24,12409.32,38422.44,172800.12
25,0.08,0.04,13201.56
26,708.72,52.64,13325.12
27,8904.80,12000.20,16000.08
28,37261.72,52351.56,169793.08
29,24033.56,24003.32,55795.12
30,12013.28,12145.20,16366.08
31,22917.24,12003.56,16000.04
32,48019.16,67071.00,150643.24
33,75983.40,90922.44,201363.04
34,75446.80,57774.44,84061.04
35,23276.68,23926.08,39618.16
36,155607.48,134463.80,238400.64
37,106181.04,102364.31,146159.50
38,85232.16,69132.24,104000.40
39,48005.04,37209.32,64022.16
40,0.00,12000.00,102411.64
41,165.80,0.08,25200.80
42,12500.00,13750.00,0.04
43,0.12,0.00,0.24
44,58046.40,49200.08,100007.72
45,26403.60,24000.08,77380.92
46,23934.56,25379.04,66138.36
47,0.12,0.04,0.00
48,12270.56,68521.08,177200.44
49,24679.60,29389.92,117200.92
50,61226.92,48020.24,64000.32
51,71427.76,60604.56,90451.96
52,90004.56,84276.92,197200.00
53,96183.64,101143.92,141285.96
54,86846.00,108045.76,167326.48
55,61221.84,73908.68,64009.04
56,156728.44,144131.52,278044.12
57,95568.73,92331.42,195607.08
58,118171.16,122265.60,184000.32
59,82386.52,60070.08,95952.80
60,12000.28,25200.28,101368.44
61,0.00,0.00,24000.08
62,18.45,0.19,60000.13
63,0.04,0.04,12000.00
64,36003.12,52814.84,109028.80
65,38437.64,47972.36,85293.96
66,12000.72,12000.28,35503.24
67,12000.48,8264.64,30169.48
68,61245.36,67647.84,129202.48
69,86401.40,74400.40,142528.20
70,49214.16,60006.16,116000.08
71,82277.16,61212.44,130585.68
72,96000.84,111211.72,217216.84
73,106580.96,132777.72,247296.28
74,153681.88,130157.28,185978.28
