Seed,Fluted,Hibrid,Vampire
1725721649,0,0,330000
2190295524,1,2,1
2638831583,0,0,0
409122897,0,0,0
4064015570,269,0,1
2412882635,0,0,300000
1725721649,0,0,300000
2190295524,1,3,1
2638831583,0,0,0
409122897,0,0,0
4064015570,270,0,1
2412882635,0,0,300000
464486699,0,0,300000
672166186,21,0,0
3903936822,0,0,0
3243307269,0,0,0
1860525259,0,0,0
2967290513,0,0,0
4197988273,0,0,0
2872720697,1,0,330000
2492016433,0,0,0
2371576624,0,0,0
2385646089,0,0,0
3728788494,0,0,0
3907102016,0,0,0
2790047587,9,1,0
805933154,0,0,0
3989918045,0,0,0
520152120,0,0,0
156698434,0,0,0
2303888681,0,0,0
