Seed,Fluted,Hibrid,Vampire
3494294943,0,0,0
3856089186,0,0,0
1205961102,0,0,0
2191676777,1,0,0
658949323,300000,300000,400000
2120830034,0,0,0
2909129129,300000,300000,400000
3553116499,256923,27,4642
2839359614,300000,300000,400000
488388706,300000,330000,400000
168062972,0,1,330000
2702589506,0,0,0
2286120015,4,1,300000
161826182,1,1,0
3246237114,0,0,330000
2913660963,0,0,0
2030805371,300000,281,300000
1646788534,300000,300000,400000
3229723011,0,0,0
3115877208,0,0,0
175691607,0,0,0
469241269,0,0,0
3626303971,0,0,0
1186829853,0,0,0
1290040551,0,0,0
