Seed,Fluted,Hibrid,Vampire
1423388164,2,1,0
2882196273,0,0,0
1465972865,0,0,0
3430990469,212,4,0
2774057028,2,1,0
176405740,0,0,0
2376684557,1,1,0
390095029,0,1,0
2330726668,300000,17,0
522433097,0,1,0
2669695171,419,290420,300000
3111670974,50,8,3656
217645774,3,10,0
2269712518,0,0,150903
2080773655,92,1,0
1887434360,1,0,1
3032537435,0,1,0
3798993742,2,300000,400000
2179726232,0,0,0
1864767779,4,9,0
1354933753,2,2,0
602369753,1952,1,0
458253069,0,0,0
3419983035,0,2,300000
3677470869,300000,92,0
