Seed,Fluted,Hibrid,Vampire
3541110183,0,0,330000
2599208129,0,0,330000
4032006486,0,0,0
1505055014,0,0,0
3016144942,0,0,0
3100908262,1,0,330000
281835237,0,0,0
1114986494,0,0,0
2564173181,0,0,330000
321697029,0,0,0
2239523718,0,0,330000
1659845351,0,0,0
4031130967,0,0,0
4276503060,0,0,0
1194390705,0,0,330000
2415366946,0,0,0
2592410059,0,0,330000
3412352110,0,0,0
3742204799,0,0,15
3805894565,1,0,330000
1970978491,0,0,300000
3333320396,300000,300000,400000
4058358136,0,0,0
667302453,0,0,0
1300166831,0,0,330000
