Seed,Fluted,Hibrid,Vampire
2070622942,1,0,0
3075446321,300000,6,1
2235834833,300000,4,300000
1777972753,1,300000,400000
1375516285,0,0,0
1641287284,0,0,156
1280570711,0,0,0
562927183,0,0,0
315225697,0,0,0
4146247382,0,0,0
1029993483,0,0,0
2780158586,0,0,0
3089661017,0,0,603
4010197998,0,300000,400000
249557995,0,0,0
1120187192,0,1,7
3330039770,0,0,5
1641403617,0,0,0
3501287279,0,15,330000
2755124237,0,0,0
3555951170,0,0,268085
1469965222,0,1,0
1414328760,0,0,0
607355183,0,5,300000
3994729720,0,0,0
