Lex,Fluted,Hibrid,Vampire
0,0.00,0.00,0.00
1,0.00,0.00,0.00
2,0.08,0.00,0.00
3,0.00,0.00,0.00
4,0.00,2.12,82345.12
5,0.04,0.04,41007.08
6,14.96,0.84,18079.96
7,36000.48,66564.20,105230.36
8,12000.28,12069.16,64003.32
9,12039.88,95.32,117941.32
10,1619.36,13.32,32094.60
11,37067.24,44131.91,68529.56
12,13200.08,12000.20,199113.16
13,19924.60,10741.97,128806.93
14,67935.92,81406.60,150105.64
15,97710.04,101141.00,113081.84
16,32144.57,72353.07,215358.46
17,146572.76,158384.64,249200.28
18,41007.96,92380.20,150629.12
19,109054.64,84590.48,112976.28
20,0.00,0.00,24000.00
21,0.00,0.00,0.08
22,0.04,0.00,17.76
23,0.04,0.00,0.00
24,0.04,12212.68,155108.04
25,0.04,0.04,86085.82
26,36000.16,10009.76,49201.56
27,36001.40,24000.36,48367.68
28,0.00,36000.92,135896.28
29,13201.20,12009.56,64005.44
30,24000.08,24001.28,79954.28
31,12004.76,16391.64,73989.32
32,5.20,24169.20,140808.12
33,12002.00,35143.72,189201.88
34,24032.32,48009.76,202970.00
35,24150.28,63329.92,143730.88
36,53567.64,36396.16,235546.00
37,73206.08,98425.48,242000.16
38,85210.56,72759.72,181644.60
39,48936.68,88198.56,151598.28
40,0.00,0.00,4.00
41,0.00,0.00,2.00
42,0.04,0.00,0.00
43,0.44,0.04,0.00
44,12000.08,12000.00,146800.60
