Seed,Fluted,Hibrid,Vampire
957934131,0,1,0
101927426,1,164100,0
3245136225,2,300000,??
915389599,0,0,0
267833643,0,0,0
1059755682,0,0,300000
2109402018,0,0,0
4012349800,0,0,0
2579159374,0,0,0
1233088736,1,1,0
4132950959,0,1,0
3269435561,0,0,0
1387099854,0,0,0
1766042970,0,0,39
1287950899,0,0,0
4177419199,300000,300000,??
1251521306,0,0,0
3603891213,0,0,0
956974001,4,300000,??
4099359122,0,1,0
2743873319,0,0,0
1522161742,300000,300000,??
133358317,4,1,330000
3954247400,0,0,720
1357930071,300000,300000,??
