Seed,Fluted,Hibrid,Vampire
3060374782,0,1,330000
1521102905,1,2,1
2027622423,1,2074,0
3915396142,0,1,6307
4132896025,0,0,300000
931845404,0,0,0
3749945204,1,1,0
2623335273,1,0,0
3233057931,0,2,0
2816794458,62,52,300000
3292446672,4,2,330000
2242194938,1,2,0
464044948,0,1,0
3226324353,31,300000,??
3138424116,2,3,300000
2785941721,0,1,243010
2856998482,1,1,300000
1376924988,20,135,3
18093910,1,1,0
458676568,330000,330000,??
73424184,2,2,0
415865345,0,0,0
2563223345,300000,300000,??
2716428683,1,300000,??
155453237,1,4,0
