Seed,Fluted,Hibrid,Vampire
2047031037,0,0,0
366075044,0,0,300000
978440396,0,0,0
3112894164,0,0,0
564370277,0,0,330000
1799090499,0,0,0
2809497721,0,0,330000
131854999,0,0,49
3830118954,0,0,330000
3130927039,0,71,330000
2770925538,0,0,300000
3105221498,0,0,0
2749424446,0,3,0
814959997,2,0,300000
3030778209,0,20,300000
1755946333,0,0,300000
280541235,0,0,300000
503560176,0,0,0
261579977,0,0,330000
880316364,0,0,300000
1183304786,0,0,0
2695832879,0,0,0
3197448091,0,0,183
1241243252,0,0,0
3103148965,0,0,0
